새로 학습
2016-04-18 07:35:42,923 : INFO : loading Word2Vec object from gensimdata.model
2016-04-18 07:35:43,726 : INFO : setting ignored attribute syn0norm to None
2016-04-18 07:35:43,726 : INFO : setting ignored attribute cum_table to None
2016-04-18 07:35:44,063 : INFO : training model with 8 workers on 208235 vocabulary and 30 features, using sg=0 hs=0 sample=0.001 negative=5
2016-04-18 07:35:44,064 : INFO : expecting 11388 sentences, matching count from corpus used for vocabulary survey
2016-04-18 07:40:10,707 : INFO : PROGRESS: at 0.00% examples, 33 words/s, in_qsize 14, out_qsize 3
2016-04-18 07:40:20,571 : INFO : PROGRESS: at 0.00% examples, 60 words/s, in_qsize 12, out_qsize 5
2016-04-18 07:40:29,087 : INFO : PROGRESS: at 0.01% examples, 88 words/s, in_qsize 7, out_qsize 10
2016-04-18 07:40:34,787 : INFO : PROGRESS: at 0.01% examples, 118 words/s, in_qsize 13, out_qsize 14
2016-04-18 07:40:58,182 : INFO : PROGRESS: at 0.01% examples, 144 words/s, in_qsize 14, out_qsize 19
2016-04-18 07:41:12,601 : INFO : PROGRESS: at 0.01% examples, 160 words/s, in_qsize 15, out_qsize 24
2016-04-18 07:41:12,601 : INFO : PROGRESS: at 0.01% examples, 177 words/s, in_qsize 15, out_qsize 23
2016-04-18 07:41:30,006 : INFO : PROGRESS: at 0.05% examples, 712 words/s, in_qsize 8, out_qsize 13
2016-04-18 07:41:40,069 : INFO : PROGRESS: at 0.06% examples, 710 words/s, in_qsize 15, out_qsize 22
2016-04-18 07:41:42,982 : INFO : PROGRESS: at 0.06% examples, 715 words/s, in_qsize 9, out_qsize 24
2016-04-18 07:41:43,299 : INFO : PROGRESS: at 0.06% examples, 732 words/s, in_qsize 15, out_qsize 24
2016-04-18 07:41:45,482 : INFO : PROGRESS: at 0.11% examples, 1306 words/s, in_qsize 16, out_qsize 6
2016-04-18 07:41:47,278 : INFO : PROGRESS: at 0.13% examples, 1585 words/s, in_qsize 15, out_qsize 2
2016-04-18 07:41:49,771 : INFO : PROGRESS: at 0.15% examples, 1742 words/s, in_qsize 10, out_qsize 7
2016-04-18 07:41:49,978 : INFO : PROGRESS: at 0.16% examples, 1906 words/s, in_qsize 16, out_qsize 1
2016-04-18 07:41:52,921 : INFO : PROGRESS: at 0.18% examples, 2111 words/s, in_qsize 14, out_qsize 8
2016-04-18 07:41:55,271 : INFO : PROGRESS: at 0.18% examples, 2124 words/s, in_qsize 7, out_qsize 17
2016-04-18 07:41:56,879 : INFO : PROGRESS: at 0.18% examples, 2133 words/s, in_qsize 4, out_qsize 21
2016-04-18 07:41:57,309 : INFO : PROGRESS: at 0.18% examples, 2147 words/s, in_qsize 13, out_qsize 24
2016-04-18 07:41:59,336 : INFO : PROGRESS: at 0.24% examples, 2896 words/s, in_qsize 11, out_qsize 7
2016-04-18 07:41:59,888 : INFO : PROGRESS: at 0.24% examples, 2908 words/s, in_qsize 11, out_qsize 13
2016-04-18 07:42:01,546 : INFO : PROGRESS: at 0.27% examples, 3214 words/s, in_qsize 10, out_qsize 10
2016-04-18 07:42:01,995 : INFO : PROGRESS: at 0.29% examples, 3449 words/s, in_qsize 15, out_qsize 4
2016-04-18 07:42:03,443 : INFO : PROGRESS: at 0.31% examples, 3800 words/s, in_qsize 8, out_qsize 6
2016-04-18 07:42:04,018 : INFO : PROGRESS: at 0.33% examples, 3945 words/s, in_qsize 8, out_qsize 7
2016-04-18 07:42:05,446 : INFO : PROGRESS: at 0.37% examples, 4439 words/s, in_qsize 13, out_qsize 11
2016-04-18 07:42:06,183 : INFO : PROGRESS: at 0.41% examples, 4948 words/s, in_qsize 13, out_qsize 7
2016-04-18 07:42:07,304 : INFO : PROGRESS: at 0.48% examples, 5857 words/s, in_qsize 8, out_qsize 8
2016-04-18 07:42:08,396 : INFO : PROGRESS: at 0.59% examples, 7114 words/s, in_qsize 12, out_qsize 7
2016-04-18 07:42:09,334 : INFO : PROGRESS: at 0.71% examples, 8558 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:42:10,364 : INFO : PROGRESS: at 0.84% examples, 10111 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:42:11,372 : INFO : PROGRESS: at 0.96% examples, 11599 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:42:12,387 : INFO : PROGRESS: at 1.09% examples, 13100 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:42:13,393 : INFO : PROGRESS: at 1.22% examples, 14676 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:42:14,420 : INFO : PROGRESS: at 1.35% examples, 16194 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:42:15,434 : INFO : PROGRESS: at 1.48% examples, 17675 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:42:16,447 : INFO : PROGRESS: at 1.62% examples, 19267 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:42:17,449 : INFO : PROGRESS: at 1.75% examples, 20772 words/s, in_qsize 14, out_qsize 0
2016-04-18 07:42:18,467 : INFO : PROGRESS: at 1.88% examples, 22294 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:42:19,476 : INFO : PROGRESS: at 2.01% examples, 23825 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:42:20,515 : INFO : PROGRESS: at 2.14% examples, 25309 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:42:21,532 : INFO : PROGRESS: at 2.27% examples, 26742 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:42:22,524 : INFO : PROGRESS: at 2.40% examples, 28251 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:42:23,554 : INFO : PROGRESS: at 2.53% examples, 29693 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:42:24,561 : INFO : PROGRESS: at 2.66% examples, 31180 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:42:25,597 : INFO : PROGRESS: at 2.80% examples, 32691 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:42:26,619 : INFO : PROGRESS: at 2.93% examples, 34098 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:42:27,626 : INFO : PROGRESS: at 3.06% examples, 35551 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:42:28,631 : INFO : PROGRESS: at 3.19% examples, 36962 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:42:29,639 : INFO : PROGRESS: at 3.32% examples, 38380 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:42:30,643 : INFO : PROGRESS: at 3.44% examples, 39703 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:42:31,686 : INFO : PROGRESS: at 3.58% examples, 41133 words/s, in_qsize 15, out_qsize 1
2016-04-18 07:42:32,702 : INFO : PROGRESS: at 3.71% examples, 42604 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:42:33,722 : INFO : PROGRESS: at 3.85% examples, 44051 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:42:34,736 : INFO : PROGRESS: at 3.98% examples, 45435 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:42:35,828 : INFO : PROGRESS: at 4.10% examples, 46714 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:42:36,867 : INFO : PROGRESS: at 4.23% examples, 48113 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:42:37,919 : INFO : PROGRESS: at 4.37% examples, 49618 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:42:38,933 : INFO : PROGRESS: at 4.50% examples, 50934 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:42:39,943 : INFO : PROGRESS: at 4.63% examples, 52312 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:42:40,961 : INFO : PROGRESS: at 4.77% examples, 53741 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:42:41,996 : INFO : PROGRESS: at 4.89% examples, 54929 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:42:42,996 : INFO : PROGRESS: at 5.00% examples, 56041 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:42:44,010 : INFO : PROGRESS: at 5.11% examples, 57199 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:42:45,030 : INFO : PROGRESS: at 5.24% examples, 58432 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:42:46,035 : INFO : PROGRESS: at 5.37% examples, 59824 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:42:47,079 : INFO : PROGRESS: at 5.51% examples, 61149 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:42:48,081 : INFO : PROGRESS: at 5.62% examples, 62313 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:42:49,082 : INFO : PROGRESS: at 5.76% examples, 63679 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:42:50,085 : INFO : PROGRESS: at 5.89% examples, 65000 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:42:51,099 : INFO : PROGRESS: at 6.01% examples, 66179 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:42:52,111 : INFO : PROGRESS: at 6.14% examples, 67523 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:42:53,124 : INFO : PROGRESS: at 6.28% examples, 68882 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:42:54,159 : INFO : PROGRESS: at 6.41% examples, 70181 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:42:55,163 : INFO : PROGRESS: at 6.55% examples, 71558 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:42:56,171 : INFO : PROGRESS: at 6.69% examples, 72849 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:42:57,188 : INFO : PROGRESS: at 6.81% examples, 74073 words/s, in_qsize 16, out_qsize 0
2016-04-18 07:42:58,193 : INFO : PROGRESS: at 6.95% examples, 75397 words/s, in_qsize 15, out_qsize 0
2016-04-18 07:42:59,223 : INFO : PROGRESS: at 7.09% examples, 76780 words/s, in_qsize 15, out_qsize 0
